date,SPY
20140102,-0.009584
20140103,-0.00019099999999999998
20140106,-0.0028710000000000003
20140107,0.006142
20140108,0.000218
20140109,0.000654
20140110,0.002723
20140113,-0.013332
20140114,0.010926
20140115,0.00539
20140116,-0.0013
20140117,-0.004257
20140121,0.002968
20140122,0.0006519999999999999
20140123,-0.008193
20140124,-0.021336
20140127,-0.004919
20140128,0.005954999999999999
20140129,-0.009604999999999999
20140130,0.0106
20140131,-0.0058579999999999995
20140203,-0.022505
20140204,0.006976
20140205,-0.0012259999999999999
20140206,0.013187
20140207,0.012395999999999999
20140210,0.001837
20140211,0.010944
20140212,0.000495
20140213,0.005163
20140214,0.005519
20140218,0.001196
20140219,-0.006622
20140220,0.005901
20140221,-0.001141
20140224,0.005547
20140225,-0.000379
20140226,5.4000000000000005e-05
20140227,0.005248
20140228,0.002529
20140303,-0.007031999999999999
20140304,0.014056
20140305,0.000906
20140306,0.00229
20140307,0.000425
20140310,-0.000531
20140311,-0.004943
20140312,0.000267
20140313,-0.011212999999999999
20140314,-0.0028079999999999997
20140317,0.009044
20140318,0.007137999999999999
20140319,-0.0053289999999999995
20140320,0.005823
20140321,-0.00824
20140324,-0.004135
20140325,0.004746
20140326,-0.0071920000000000005
20140327,-0.0021079999999999996
20140328,0.0049299999999999995
20140331,0.008194
20140401,0.006631000000000001
20140402,0.0033469999999999997
20140403,-0.001324
20140404,-0.011822
20140407,-0.011051
20140408,0.004123
20140409,0.010751
20140410,-0.021033
20140411,-0.008981
20140414,0.007879
20140415,0.006887000000000001
20140416,0.010451
20140417,0.001424
20140421,0.0034869999999999996
20140422,0.004545
20140423,-0.0023420000000000003
20140424,0.002027
20140425,-0.008199
20140428,0.00314
20140429,0.004682
20140430,0.002983
20140501,8e-05
20140502,-0.001407
20140505,0.0019140000000000001
20140506,-0.008704
20140507,0.005889
20140508,-0.001091
20140509,0.001519
20140512,0.009709
20140513,0.0009220000000000001
20140514,-0.004738
20140515,-0.00878
20140516,0.003469
20140519,0.003669
20140520,-0.006305
20140521,0.008424
20140522,0.002432
20140523,0.004009
20140527,0.006147
20140528,-0.000731
20140529,0.005173
20140530,0.001611
20140602,0.001116
20140603,-0.000493
20140604,0.002023
20140605,0.006522
20140606,0.004757
20140609,0.001049
20140610,0.000102
20140611,-0.0034770000000000005
20140612,-0.0070799999999999995
20140613,0.0030489999999999996
20140616,0.000824
20140617,0.002779
20140618,0.007314
20140619,0.001146
20140620,-0.002748
20140623,-0.000306
20140624,-0.006024
20140625,0.004520000000000001
20140626,-0.0007160000000000001
20140627,0.0019440000000000002
20140630,-0.0005110000000000001
20140701,0.006693000000000001
20140702,0.001015
20140703,0.004918
20140707,-0.003481
20140708,-0.00643
20140709,0.004484
20140710,-0.0039570000000000004
20140711,0.001375
20140714,0.005035
20140715,-0.001873
20140716,0.003701
20140717,-0.011366
20140718,0.010218999999999999
20140721,-0.001871
20140722,0.004358
20140723,0.0022199999999999998
20140724,5e-05
20140725,-0.004682
20140728,0.000405
20140729,-0.004297
20140730,0.000152
20140731,-0.019747999999999998
20140801,-0.0030559999999999997
20140804,0.007220999999999999
20140805,-0.009696
20140806,0.00031299999999999996
20140807,-0.005415
20140808,0.011569
20140811,0.002872
20140812,-0.001367
20140813,0.006769
20140814,0.004722
20140815,-0.000204
20140818,0.008379000000000001
20140819,0.005219
20140820,0.002671
20140821,0.002916
20140822,-0.0015539999999999998
20140825,0.005071
20140826,0.0006490000000000001
20140827,-0.000399
20140828,-0.000549
20140829,0.002848
20140902,-0.0004980000000000001
20140903,-0.0005480000000000001
20140904,-0.001446
20140905,0.004495
20140908,-0.0025859999999999998
20140909,-0.006331
20140910,0.0037630000000000003
20140911,0.00115
20140912,-0.005841
20140915,-0.0007480000000000001
20140916,0.007533
20140917,0.001347
20140918,0.00533
20140919,-0.00555
20140922,-0.007723000000000001
20140923,-0.005724
20140924,0.007828
20140925,-0.016136
20140926,0.007945
20140929,-0.001819
20140930,-0.0026320000000000002
20141001,-0.013552000000000002
20141002,0.000154
20141003,0.011009
20141006,-0.00117
20141007,-0.015436000000000002
20141008,0.017488999999999998
20141009,-0.019833
20141010,-0.011414
20141013,-0.016428
20141014,0.0015480000000000001
20141015,-0.0067659999999999994
20141016,-0.000858
20141017,0.011811
20141020,0.00971
20141021,0.019811000000000002
20141022,-0.007111
20141023,0.011625
20141024,0.0076950000000000005
20141027,-0.001374
20141028,0.011470000000000001
20141029,-0.0015119999999999999
20141030,0.006411
20141031,0.011434999999999999
20141103,0.000545
20141104,-0.003469
20141105,0.0063159999999999996
20141106,0.0040030000000000005
20141107,0.000935
20141110,0.003147
20141111,0.000956
20141112,-0.001053
20141113,0.0011279999999999999
20141114,0.000245
20141117,0.0006360000000000001
20141118,0.0057740000000000005
20141119,-0.001605
20141120,0.001754
20141121,0.005351
20141124,0.002806
20141125,-0.000724
20141126,0.002559
20141128,-0.0021190000000000002
20141201,-0.00695
20141202,0.00644
20141203,0.003887
20141204,-0.001106
20141205,0.001637
20141208,-0.006683
20141209,-0.000678
20141210,-0.016031
20141211,0.005069
20141212,-0.016161000000000002
20141215,-0.006869
20141216,-0.008020000000000001
20141217,0.019605
20141218,0.024728999999999998
20141219,-0.001257
20141222,0.0046
20141223,0.00135
20141224,9.6e-05
20141226,0.003225
20141229,0.001343
20141230,-0.005365999999999999
20141231,-0.009923000000000001
20150102,-0.000535
20150105,-0.01806
20150106,-0.009419
20150107,0.012461
20150108,0.017745
20150109,-0.008014
20150112,-0.007834
20150113,-0.002813
20150114,-0.006037
20150115,-0.009161
20150116,0.013115
20150120,0.0021079999999999996
20150121,0.005072999999999999
20150122,0.014871
20150123,-0.005483
20150126,0.0023420000000000003
20150127,-0.013191
20150128,-0.012824
20150129,0.009245
20150130,-0.012576
20150202,0.012384000000000001
20150203,0.014461000000000002
20150204,-0.0038079999999999998
20150205,0.010095
20150206,-0.0027649999999999997
20150209,-0.004476
20150210,0.010653
20150211,0.00058
20150212,0.009617
20150213,0.004116
20150217,0.001573
20150218,9.499999999999999e-05
20150219,-0.000714
20150220,0.0059960000000000005
20150223,-0.00014199999999999998
20150224,0.002846
20150225,-0.00085
20150226,-0.001181
20150227,-0.003406
20150302,0.006313
20150303,-0.004104
20150304,-0.004215
20150305,0.001094
20150306,-0.014063999999999998
20150309,0.004145
20150310,-0.016222
20150311,-0.0023420000000000003
20150312,0.012714
20150313,-0.006146
20150316,0.013374
20150317,-0.002972
20150318,0.012022
20150319,-0.004561
20150320,0.004344
20150323,-0.0019489999999999998
20150324,-0.005619
20150325,-0.014653999999999999
20150326,-0.002381
20150327,0.00229
20150330,0.0122
20150331,-0.008740000000000001
20150401,-0.003536
20150402,0.003573
20150406,0.006758
20150407,-0.002646
20150408,0.003353
20150409,0.004448
20150410,0.005457
20150413,-0.004523
20150414,0.001913
20150415,0.004487
20150416,-0.000285
20150417,-0.011504
20150420,0.009137000000000001
20150421,-0.001191
20150422,0.004914
20150423,0.002516
20150424,0.00232
20150427,-0.004157
20150428,0.003179
20150429,-0.004115
20150430,-0.010020000000000001
20150501,0.010841
20150504,0.0028469999999999997
20150505,-0.011452
20150506,-0.004117
20150507,0.00399
20150508,0.013165999999999999
20150511,-0.004796
20150512,-0.002968
